epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.954,2.26049,3.43746,2.75191,0.66454,0.06195,0.04537,0.01383,2.4024,3.81934,3.073,0.09208,8e-05,8e-05
2,517.035,2.22514,3.43882,2.73704,0.00319,0.70515,0.03636,0.01149,2.62938,3.98383,3.22647,0.0831683,0.000168317,0.000168317
3,770.133,2.22549,3.40494,2.69634,0.00255,0.64273,0.00794,0.0024,2.56946,4.23616,3.23171,0.0742549,0.000254852,0.000254852
4,1022.88,2.24409,3.40352,2.73006,0.00292,0.76227,0.01798,0.00522,2.49055,3.99689,3.15094,0.0653396,0.000339605,0.000339605
5,1275.14,2.21988,3.42204,2.70281,0.00371,0.86499,0.05342,0.01669,2.46869,3.74877,3.10511,0.0564226,0.000422576,0.000422576
6,1528.14,2.18491,3.40007,2.68993,0.00354,0.84928,0.03815,0.01153,2.3786,3.86606,3.03321,0.0475038,0.000503765,0.000503765
7,1780.36,2.15948,3.37627,2.70666,0.00329,0.81195,0.03608,0.01195,2.31969,3.82876,2.99651,0.0385832,0.000583172,0.000583172
8,2032.87,2.20383,3.39127,2.71253,0.00514,0.78545,0.03758,0.01325,2.29337,3.82482,3.01071,0.0296608,0.000660797,0.000660797
9,2287.95,2.1852,3.3732,2.69293,0.02722,0.41002,0.06235,0.02114,2.29077,3.69545,2.98697,0.0207366,0.00073664,0.00073664
10,2539.63,2.21003,3.4131,2.70021,0.5028,0.11909,0.0757,0.02433,2.34675,3.60205,2.99255,0.0118107,0.000810701,0.000810701
11,2791.2,2.17988,3.36714,2.67069,0.63726,0.04848,0.0727,0.02307,2.33148,3.59391,2.97984,0.00288298,0.00088298,0.00088298
12,3042.51,2.19372,3.36687,2.68456,0.63209,0.06667,0.07756,0.02611,2.28389,3.59554,2.94687,0.0008911,0.0008911,0.0008911
13,3294.24,2.16101,3.3678,2.65876,0.61571,0.09379,0.08167,0.02813,2.28462,3.49512,2.95269,0.0008812,0.0008812,0.0008812
14,3545.91,2.18325,3.35337,2.6676,0.59598,0.08436,0.08184,0.02992,2.27486,3.47742,2.9371,0.0008713,0.0008713,0.0008713
15,3797.84,2.20654,3.36632,2.6889,0.62558,0.10389,0.08712,0.03,2.26632,3.49353,2.92604,0.0008614,0.0008614,0.0008614
16,4050.36,2.18917,3.36299,2.6669,0.59172,0.13689,0.09013,0.02981,2.27452,3.58265,2.94084,0.0008515,0.0008515,0.0008515
17,4301.66,2.17907,3.33397,2.65241,0.67123,0.0963,0.07393,0.02536,2.2531,3.77288,2.94167,0.0008416,0.0008416,0.0008416
18,4553.48,2.16918,3.32816,2.67132,0.67617,0.05118,0.0721,0.02474,2.25631,3.8046,2.94875,0.0008317,0.0008317,0.0008317
19,4805.92,2.18106,3.36824,2.66938,0.60807,0.07191,0.09322,0.03015,2.283,3.58026,2.9715,0.0008218,0.0008218,0.0008218
20,5057.88,2.18049,3.34256,2.66572,0.59654,0.1012,0.10124,0.03273,2.27223,3.55188,2.9524,0.0008119,0.0008119,0.0008119
21,5309.61,2.15858,3.34161,2.66869,0.66506,0.05178,0.08691,0.02806,2.29726,3.65487,2.95579,0.000802,0.000802,0.000802
22,5561.26,2.1708,3.36533,2.65511,0.68289,0.0578,0.0896,0.02859,2.29615,3.62226,2.94922,0.0007921,0.0007921,0.0007921
23,5813.2,2.16217,3.3145,2.64568,0.67784,0.07205,0.08909,0.02787,2.2879,3.56352,2.95227,0.0007822,0.0007822,0.0007822
24,6065.14,2.14857,3.30035,2.63912,0.56766,0.11033,0.08875,0.02832,2.29001,3.55034,2.96228,0.0007723,0.0007723,0.0007723
25,6316.63,2.18124,3.35824,2.67267,0.57487,0.13617,0.09605,0.03259,2.28483,3.5068,2.96356,0.0007624,0.0007624,0.0007624
26,6567.99,2.17222,3.31672,2.6497,0.49407,0.10861,0.08575,0.02827,2.27882,3.5413,2.95838,0.0007525,0.0007525,0.0007525
27,6820.2,2.18682,3.36394,2.65234,0.47419,0.13066,0.08286,0.02886,2.26616,3.48748,2.9465,0.0007426,0.0007426,0.0007426
28,7072.32,2.16277,3.35443,2.65902,0.48928,0.10648,0.08405,0.0303,2.25452,3.46225,2.93853,0.0007327,0.0007327,0.0007327
29,7323.78,2.15137,3.27359,2.61728,0.4709,0.07992,0.08456,0.02733,2.24976,3.45545,2.91397,0.0007228,0.0007228,0.0007228
30,7574.74,2.15712,3.36404,2.61685,0.53706,0.10212,0.08731,0.02507,2.26536,3.49312,2.92091,0.0007129,0.0007129,0.0007129
